	date	state	school	type_school	death	suicide	number_victims	reliability	category	address	lat	lon
287	1986-01-09	NC	Northern High School	K-12	1	0.0	1	2.0	Domestic w/ Targeted Victim	Northern High School, Durham, NC, United States	36.093821	-78.9118029
288	1986-01-17	CA	Vanguard Junior High School	K-12	1	0.0	1	2.0	Escalation of Dispute	Vanguard Junior High School, Los Angeles, CA, United States	33.9111229	-118.2708316
289	1986-01-29	MD	Lake Clifton High School	K-12	1	0.0	1	2.0	Bullying	Lake Clifton High School, Baltimore, MD, United States	39.3163674	-76.5896443
290	1986-02-24	LA	Boyet Junior High School	K-12	1	1.0	1	2.0	Suicide/Attempted	Boyet Junior High School, Slidell, LA, United States	30.29182	-89.73791
291	1986-03-06	IL	Thornridge High School	K-12	0	0.0	0	2.0	Anger Over Grade/Suspension/Discipline	Thornridge High School, Dolton, IL, United States	41.6209271	-87.5986872
292	1986-04-23	FL	Charles Drew Middle School	K-12	0	0.0	0	2.0	Escalation of Dispute	Charles Drew Middle School, Miami, FL, United States	25.8303507	-80.2275057
293	1986-04-29	MO	Senath-Hornersville High School	K-12	1	0.0	1	2.0	Bullying	Senath-Hornersville High School, Senath, MO, United States	36.1269661	-90.16150239999999
294	1986-05-09	NC	Pine Forest High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Pine Forest High School, Fayetteville, NC, United States	35.1547493	-78.88646
295	1986-05-15	GA	Carver High School	K-12	0	0.0	0	2.0	Accidental	Carver High School, Atlanta, GA, United States	33.7205643	-84.3870819
296	1986-05-16	WY	Cokeville Elementary School	K-12	1	1.0	2	2.0	Hostage Standoff	Cokeville Elementary School, Cokeville, WY, United States	42.08687219999999	-110.9545322
297	1986-05-17	TN	Maplewood High School	K-12	0	0.0	0	2.0	Anger Over Grade/Suspension/Discipline	Maplewood High School, Nashville, TN, United States	36.23207	-86.750906
298	1986-09-12	CA	Fairfax High School	K-12	1	0.0	1	2.0	Gang-related	Fairfax High School, Los Angeles, CA, United States	34.0821574	-118.3597627
299	1986-09-18	CA	Benicia High School 	K-12	1	0.0	1	2.0	Domestic w/ Targeted Victim	Benicia High School , Benicia, CA, United States	38.0648321	-122.1756587
300	1986-10-03	CA	Monrovia High School	K-12	0	0.0	0	2.0	Gang-related	Monrovia High School, Monrovia, CA, United States	34.1483484	-118.0171262
301	1986-10-08	TX	South Oak Cliff High School	K-12	1	0.0	1	2.0	Escalation of Dispute	South Oak Cliff High School, Dallas, TX, United States	32.6996702	-96.8157572
302	1986-12-04	MT	Fergus High School	K-12	1	0.0	1	2.0	Anger Over Grade/Suspension/Discipline	Fergus High School, Lewistown, MT, United States	47.053473	-109.423892
303	1987-01-14	CA	Los Angeles High School	K-12	0	1.0	0	2.0	Suicide/Attempted	Los Angeles High School, Los Angeles, CA, United States	34.0554228	-118.3329959
304	1987-01-23	MI	Redford High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Redford High School, Detroit, MI, United States	42.4186369	-83.21801789999999
305	1987-02-10	AR	Dardanelle High School	K-12	1	1.0	1	2.0	Suicide/Attempted	Dardanelle High School, Dardanelle, AR, United States	35.2074294	-93.1571745
306	1987-02-13	AZ	Orme School	K-12	1	0.0	1	2.0	Anger Over Grade/Suspension/Discipline	Orme School, Mayer, AZ, United States	34.43199	-112.070567
307	1987-02-24	NY	Mount Tom Country Day School	K-12	0	0.0	0	2.0	Unknown	Mount Tom Country Day School, New Rochelle, NY, United States	40.8941889	-73.7895765
308	1987-03-02	MO	Dekalb High School	K-12	1	1.0	2	2.0	Bullying	Dekalb High School, De Kalb, MO, United States	39.58625869999999	-94.92852769999999
309	1987-03-06	TX	Riverside High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Riverside High School, El Paso, TX, United States	31.7337929	-106.3723188
310	1987-03-30	CA	Panorama Elementary School	K-12	1	1.0	1	2.0	Suicide/Attempted	Panorama Elementary School, Santa Ana, CA, United States	33.780369	-117.7917576
311	1987-04-16	MI	Murray-Wright High School	K-12	1	0.0	1	2.0	Escalation of Dispute	Murray-Wright High School, Detroit, MI, United States	42.3494717	-83.0836558
312	1987-04-30	OR	Grant High School	K-12	1	0.0	1	3.0	Escalation of Dispute	Grant High School, Portland, OR, United States	45.53905109999999	-122.6268374
313	1987-05-03	IN	Pike Township High School	K-12	0	0.0	0	3.0	Robbery	Pike Township High School, Indianapolis, IN, United States	39.8765222	-86.2548305
314	1987-05-06	FL	Leto High School	K-12	1	1.0	1	2.0	Suicide/Attempted	Leto High School, Tampa, FL, United States	28.0118271	-82.5185865
315	1987-05-06	AR	MacAuthur Junior High	K-12	0	1.0	0	2.0	Suicide/Attempted	MacAuthur Junior High, Jonesboro, AR, United States	35.8243194	-90.6900563
316	1987-05-13	IL	Oak Lawn Community High School	K-12	0	1.0	0	2.0	Suicide/Attempted	Oak Lawn Community High School, Oak Lawn, IL, United States	41.72162	-87.767984
317	1987-09-28	IL	Illiana Christian High School	K-12	0	0.0	0	2.0	Anger Over Grade/Suspension/Discipline	Illiana Christian High School, Lansing, IL, United States	41.564892	-87.56170569999999
318	1987-10-14	IL	DuSable High School	K-12	1	0.0	1	3.0	Escalation of Dispute	DuSable High School, Chicago, IL, United States	41.8045878	-87.6247619
319	1987-10-30	NC	Southwood Elementary School	K-12	0	0.0	0	2.0	Escalation of Dispute	Southwood Elementary School, Kingston, NC, United States	35.208074	-77.564869
320	1987-11-04	MI	Southwestern High School	K-12	0	0.0	0	2.0	Robbery	Southwestern High School, Detroit, MI, United States	42.3190803	-83.0917478
321	1987-11-14	FL	Clearwater High School	K-12	1	1.0	1	2.0	Suicide/Attempted	Clearwater High School, Clearwater, FL, United States	27.9585454	-82.7563107
322	1987-11-30	TX	Perales Elementary School	K-12	1	1.0	2	2.0	Murder/Suicide	Perales Elementary School, San Antonio, TX, United States	29.4091358	-98.54827490000001
323	1987-12-02	FL	Englewood High School	K-12	0	0.0	0	2.0	Intentional Property Damage	Englewood High School, Jacksonville, FL, United States	30.27762299999999	-81.61151360000001
324	1987-12-04	NY	East New York High School of Transit Technology	K-12	0	0.0	0	3.0	Domestic w/ Targeted Victim	East New York High School of Transit Technology, New York, NY, United States	40.678748	-73.87521319999999
325	1987-12-15	NY	Grady Vocational-Technical School	K-12	0	0.0	0	2.0	Accidental	Grady Vocational-Technical School, Brighton Beach, NY, United States	40.5827332	-73.9636603
326	1987-12-16	TX	Mayde Creek High School	K-12	1	1.0	1	2.0	Suicide/Attempted	Mayde Creek High School, Katy, TX, United States	29.806465	-95.695424
327	1988-01-05	PA	Springfield High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Springfield High School, Springfield, PA, United States	39.9282102	-75.3385522
328	1988-01-06	FL	Gaither High School	K-12	0	1.0	0	3.0	Suicide/Attempted	Gaither High School, Tampa, FL, United States	28.100798	-82.5035101
329	1988-01-08	PA	Crawford County Joint Vocational Technical School	K-12	0	0.0	0	2.0	Unknown	Crawford County Joint Vocational Technical School, Meadville, PA, United States	41.6337012	-80.12619649999999
330	1988-01-20	LA	Simsboro High School	K-12	1	0.0	1	2.0	Accidental	Simsboro High School, Ruston, LA, United States	32.5341636	-92.7865659
331	1988-01-29	TX	Reagan High School	K-12	1	0.0	1	2.0	Domestic w/ Targeted Victim	Reagan High School, Austin, TX, United States	30.3224789	-97.6898391
332	1988-02-02	AL	West End Christian Elementary School	K-12	0	0.0	0	2.0	Mental Health	West End Christian Elementary School, Tuscaloosa, AL, United States	33.1994604	-87.5079894
333	1988-02-11	FL	Pinellas Park High School	K-12	1	0.0	1	2.0	Unknown	Pinellas Park High School, Largo, FL, United States	27.8807696	-82.7238871
334	1988-02-26	RI	Bristol High School	K-12	0	0.0	0	3.0	Escalation of Dispute	Bristol High School, Bristol, RI, United States	41.68770840000001	-71.2692521
335	1988-03-04	MI	Lessenger Junior High	K-12	0	0.0	0	2.0	Accidental	Lessenger Junior High, Detroit, MI, United States	42.35426959999999	-83.2478407
336	1988-03-23	CA	Cajon High School	K-12	0	0.0	0	2.0	Intentional Property Damage	Cajon High School, San Bernadino, CA, United States	34.1769133	-117.3094582
337	1988-03-24	TX	Travis High School	K-12	0	0.0	0	2.0	Unknown	Travis High School, Austin, TX, United States	30.2329676	-97.74418539999999
338	1988-05-05	IL	Martin Luther King High School	K-12	0	0.0	0	2.0	Accidental	Martin Luther King High School, Chicago, IL, United States	41.81411749999999	-87.60377869999999
339	1988-05-16	FL	Fort Myers Middle School	K-12	0	0.0	0	3.0	Escalation of Dispute	Fort Myers Middle School, Fort Myers, FL, United States	26.6197477	-81.86507189999999
340	1988-05-20	IL	Hubbard Woods Elementary School	K-12	1	0.0	2	3.0	Mental Health	Hubbard Woods Elementary School, Winnetka, IL, United States	42.1143602	-87.7457302
341	1988-05-31	NY	Public School 67	K-12	0	0.0	0	2.0	Escalation of Dispute	Public School 67, Bronx, NY, United States	40.8439944	-73.88452099999999
342	1988-06-02	MS	Wingfield High School	K-12	0	0.0	0	3.0	Gang-related	Wingfield High School, Jackson, MS, United States	32.2803997	-90.2417644
343	1988-06-17	MI	Joy Middle School	K-12	0	0.0	0	3.0	Escalation of Dispute	Joy Middle School, Detroit, MI, United States	42.401428	-83.136196
344	1988-06-30	HI	Aiea High School	K-12	0	0.0	0	3.0	Escalation of Dispute	Aiea High School, Oahu, HI, United States	21.3849016	-157.9300814
345	1988-07-10	WI	Siefert Elementary School	K-12	0	0.0	0	2.0	Escalation of Dispute	Siefert Elementary School, Milwaukee, WI, United States	43.05099020000001	-87.9303396
346	1988-07-11	MS	Lanier High School	K-12	0	0.0	0	3.0	Gang-related	Lanier High School, Jackson, MS, United States	32.3175301	-90.2025396
347	1988-08-31	MI	Central High School	K-12	0	0.0	0	2.0	Gang-related	Central High School, Detroit, MI, United States	42.38358909999999	-83.11178269999999
348	1988-08-31	SC	West Franklin Elementary School	K-12	1	0.0	1	2.0	Robbery	West Franklin Elementary School, Anderson, SC, United States	34.496686	-82.6645757
349	1988-09-03	TX	Lincoln High School	K-12	0	0.0	0	2.0	Robbery	Lincoln High School, Dallas, TX, United States	32.756467	-96.751881
350	1988-09-02	NC	Garinger High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Garinger High School, Charlotte, NC, United States	35.2409912	-80.7819896
351	1988-09-02	GA	Glen Hills High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Glen Hills High School, Augusta, GA, United States	33.4321554	-82.0740562
352	1988-09-22	IL	Moses Montefoire Public School	K-12	1	0.0	5	3.0	Mental Health	Moses Montefoire Public School, Chicago, IL, United States	41.8648712	-87.66659659999999
353	1988-09-26	SC	Oakland Elementary School	K-12	1	0.0	2	3.0	Mental Health	Oakland Elementary School, Greenwood, SC, United States	32.7872032	-80.03834859999999
354	1988-10-03	FL	Mascotte Elementary School 	K-12	0	0.0	0	2.0	Indiscriminate Shooting	Mascotte Elementary School , Mascotte, FL, United States	28.5723712	-81.88571220000001
355	1988-10-04	LA	Istrouma Senior High School	K-12	0	0.0	0	1.0	Escalation of Dispute	Istrouma Senior High School, Baton Rouge, LA, United States	30.4763011	-91.1517733
356	1988-10-04	FL	J. E. B. Stuart Junior High School (bus)	K-12	0	0.0	0	2.0	Unknown	J. E. B. Stuart Junior High School (bus), Jacksonville, FL, United States	30.2549618	-81.7375978
357	1988-10-05	MD	Edmondson Westside Senior High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Edmondson Westside Senior High School, Baltimore, MD, United States	39.2917249	-76.687831
358	1988-10-06	AL	Most Pure Heart of Mary School	K-12	0	0.0	0	2.0	Domestic w/ Targeted Victim	Most Pure Heart of Mary School, Mobile, AL, United States	30.6966263	-88.0532326
359	1988-10-07	MD	Southwestern Senior High School	K-12	0	0.0	0	3.0	Gang-related	Southwestern Senior High School, Baltimore, MD, United States	39.281707	-76.63856190000001
360	1988-10-07	TX	Dick Dowling Elementary School	K-12	0	0.0	0	3.0	Unknown	Dick Dowling Elementary School, Port Arthur, TX, United States	29.9026191	-94.0381736
361	1988-11-01	FL	Paxon High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Paxon High School, Jacksonville, FL, United States	30.344278	-81.722931
362	1988-11-07	UT	Glendale Intermediate School	K-12	0	0.0	0	2.0	Accidental	Glendale Intermediate School, Salt Lake City, UT, United States	40.7376923	-111.9303998
363	1988-11-22	TX	Abilene Cooper High School	K-12	0	0.0	0	2.0	Mental Health	Abilene Cooper High School, Abilene, TX, United States	32.4063785	-99.7488642
364	1988-12-16	VA	Atlantic Shores Christian School	K-12	1	0.0	1	3.0	Bullying	Atlantic Shores Christian School, Virginia Beach, VA, United States	36.7604006	-76.1843513
365	1989-01-17	CA	Cleveland Elementary School	K-12	1	1.0	6	2.0	Indiscriminate Shooting	Cleveland Elementary School, Stockton, CA, United States	37.982571	-121.3013269
366	1989-01-26	DC	Woodrow Wilson HIgh School	K-12	0	0.0	0	3.0	Escalation of Dispute	Woodrow Wilson HIgh School, Washington, DC, United States	38.9499299	-77.07749199999999
367	1989-02-10	UT	Thomas Jefferson Junior High School	K-12	0	0.0	0	2.0	Unknown	Thomas Jefferson Junior High School, Kearns, UT, United States	40.6448055	-112.0257774
368	1989-03-03	IN	Wirt High School	K-12	1	0.0	1	4.0	Escalation of Dispute	Wirt High School, Gary, IN, United States	41.609951	-87.263661
369	1989-04-26	TX	A. Maceo Smith High School	K-12	0	0.0	0	1.0	Escalation of Dispute	A. Maceo Smith High School, Dallas, TX, United States	32.6925137	-96.7653582
370	1989-09-11	AZ	Dysart High School	K-12	1	0.0	1	2.0	Accidental	Dysart High School, El Mirage, AZ, United States	33.590707	-112.340483
371	1989-09-18	KY	Jackson County High School	K-12	0	0.0	0	2.0	Hostage Standoff	Jackson County High School, McKee, KY, United States	37.4368391	-83.98618689999999
372	1989-10-05	CA	Loara High School	K-12	0	0.0	0	2.0	Hostage Standoff	Loara High School, Anaheim, CA, United States	33.8111268	-117.9439948
373	1989-10-31	TX	Oliver Wendell Holmes Middle School	K-12	0	0.0	0	2.0	Accidental	Oliver Wendell Holmes Middle School, Dallas, TX, United States	32.7155983	-96.7913578
374	1989-11-13	NY	Alfred E. Smith High School	K-12	1	0.0	1	2.0	Accidental	Alfred E. Smith High School, New York, NY, United States	40.8185183	-73.91996809999999
375	1989-11-15	TX	Workman Junior High School	K-12	0	0.0	0	2.0	Indiscriminate Shooting	Workman Junior High School, Arlington, TX, United States	32.6854325	-97.10164119999999
376	1989-11-22	CA	Channel Islands High School	K-12	1	0.0	1	2.0	Gang-related	Channel Islands High School, Oxnard, CA, United States	34.1711111	-119.162638
377	1989-12-04	LA	Caddo Magnet High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Caddo Magnet High School, Shreveport, LA, United States	32.4973044	-93.7198092
378	1989-12-05	TX	W. W. Samuell High School	K-12	0	0.0	0	2.0	Gang-related	W. W. Samuell High School, Dallas, TX, United States	32.7454139	-96.6675982
379	1989-12-05	PA	Serra Catholic High School bus	K-12	1	1.0	1	2.0	Murder/Suicide	Serra Catholic High School bus, McKeesport, PA, United States	40.3257295	-79.8244201
380	1989-12-12	SC	Chester High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Chester High School, Chester, SC, United States	34.6881561	-81.20265940000002
381	1990-01-16	RI	Central High School	K-12	0	0.0	0	2.0	Bullying	Central High School, Providence, RI, United States	41.816638	-71.42099499999999
382	1990-02-20	OH	Taft High School	K-12	1	0.0	1	2.0	Escalation of Dispute	Taft High School, Cincinnati, OH, United States	39.1092579	-84.5230385
383	1990-03-27	NY	New Utrecht High School	K-12	0	0.0	0	2.0	Racial	New Utrecht High School, Brooklyn, NY, United States	40.6134264	-74.0029406
384	1990-04-03	TX	Skyline High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Skyline High School, Dallas, TX, United States	32.7805044	-96.69004629999999
385	1990-05-04	CA	Mount Pleasant High School	K-12	1	0.0	1	2.0	Racial	Mount Pleasant High School, East San Jose, CA, United States	37.3463737	-121.8091777
386	1990-05-20	TN	Hickman County High School	K-12	1	0.0	1	2.0	Unknown	Hickman County High School, Centerville, TN, United States	35.8084473	-87.4293977
387	1990-05-31	TX	Sunrise Elementary School	K-12	0	0.0	0	2.0	Indiscriminate Shooting	Sunrise Elementary School, Fort Worth, TX, United States	32.7118741	-97.2372224
388	1990-08-24	NC	Myers Park High School	K-12	1	0.0	1	2.0	Unknown	Myers Park High School, Charlotte, NC, United States	35.1716427	-80.8332355
389	1990-08-27	TX	W. H. Adamson High School	K-12	0	0.0	0	1.0	Gang-related	W. H. Adamson High School, Dallas, TX, United States	32.7482407	-96.82035959999999
390	1990-08-27	NV	Eldorado High School	K-12	1	0.0	1	2.0	Gang-related	Eldorado High School, Las Vegas, NV, United States	36.1801412	-115.049472
391	1990-09-11	TX	Sam Houston High School	K-12	0	0.0	0	2.0	Gang-related	Sam Houston High School, San Antonio, TX, United States	29.4253751	-98.3992038
392	1990-10-02	TX	W. H. Adamson High School	K-12	0	0.0	0	1.0	Unknown	W. H. Adamson High School, Dallas, TX, United States	32.7482407	-96.82035959999999
393	1990-10-29	IN	Charlestown High School	K-12	0	0.0	0	2.0	Hostage Standoff	Charlestown High School, Charlestown, IN, United States	38.4553294	-85.6674178
394	1990-10-30	TX	Naaman Forest High School	K-12	0	0.0	0	2.0	Anger Over Grade/Suspension/Discipline	Naaman Forest High School, Garland, TX, United States	32.9562402	-96.6384616
395	1990-12-13	LA	Salmen High School	K-12	0	0.0	0	1.0	Illegal Drug Related	Salmen High School, Slidell, LA, United States	30.24785	-89.79030999999999
396	1991-01-08	TX	Richardson High School	K-12	1	1.0	1	3.0	Suicide/Attempted	Richardson High School, Richardson, TX, United States	32.9531393	-96.7622435
397	1991-01-17	TX	Hood Middle School	K-12	0	0.0	0	1.0	Gang-related	Hood Middle School, Dallas, TX, United States	32.7584158	-96.689455
398	1991-02-19	LA	Booker T. Washington High School	K-12	1	0.0	1	2.0	Illegal Drug Related	Booker T. Washington High School, New Orleans, LA, United States	29.9501281	-90.0890234
399	1991-03-13	AL	Selma High School	K-12	0	0.0	0	3.0	Escalation of Dispute	Selma High School, Selma, AL, United States	32.4284032	-87.0226785
400	1991-03-14	SC	Woodmont High School	K-12	0	0.0	0	3.0	Escalation of Dispute	Woodmont High School, Piedmont, SC, United States	34.68855569999999	-82.3585816
401	1991-03-25	NC	Garinger High School	K-12	1	0.0	1	2.0	Escalation of Dispute	Garinger High School, Charlotte, NC, United States	35.2409912	-80.7819896
402	1991-04-11	SC	Northwest High School	K-12	1	1.0	1	1.0	Suicide/Attempted	Northwest High School, Rock Hill, SC, United States	34.9502215	-81.08301449999999
403	1991-04-23	CA	Ralph J. Bunche Middle School	K-12	1	0.0	1	2.0	Gang-related	Ralph J. Bunche Middle School, Compton, CA, United States	33.92156170000001	-118.2270514
404	1991-04-23	MS	Humphrey's County High School	K-12	0		0	2.0	Accidental	Humphrey's County High School, Belzoni, MS, United States	33.1858662	-90.48474560000001
405	1991-05-10	OH	Franklin Alternative Middle School	K-12	1	0.0	1	2.0	Escalation of Dispute	Franklin Alternative Middle School, Columbus, OH, United States	39.9615551	-82.9635109
406	1991-05-16	KS	Coronado Middle School	K-12	0	0.0	0	2.0	Gang-related	Coronado Middle School, Kansas City, KS, United States	39.12513149999999	-94.7267559
407	1991-05-21	CA	Robert A. Millikan Junior High School	K-12	1	0.0	1	2.0	Gang-related	Robert A. Millikan Junior High School, Sherman Oaks, CA, United States	34.1626842	-118.4272896
408	1991-07-22	CA	Westchester High School	K-12	0	0.0	0	2.0	Gang-related	Westchester High School, Los Angeles, CA, United States	33.9582876	-118.4287235
409	1991-07-30	CA	Enterprise Middle School	K-12	0	0.0	0	2.0	Gang-related	Enterprise Middle School, Compton, CA, United States	33.89388539999999	-118.2581507
410	1991-09-13	TX	Madison High School	K-12	1	0.0	1	2.0	Escalation of Dispute	Madison High School, Houston, TX, United States	29.6299226	-95.436623
411	1991-09-17	IL	Woodson High School	K-12	0	0.0	0	2.0	Gang-related	Woodson High School, Chicago, IL, United States	41.8140942	-87.6084813
412	1991-09-18	TX	Crosby High School	K-12	1	0.0	1	3.0	Escalation of Dispute	Crosby High School, Crosby, TX, United States	29.8954703	-95.0686956
413	1991-10-02	TX	Spring Woods High School (bus)	K-12	0	0.0	0	1.0	Accidental	Spring Woods High School (bus), Houston, TX, United States	29.8110129	-95.54760209999999
414	1991-10-04	CA	Dorsey High School	K-12	0	0.0	0	2.0	Gang-related	Dorsey High School, Los Angeles, CA, United States	34.0228182	-118.3463426
415	1991-10-04	CA	Roosevelt High School	K-12	0	0.0	0	2.0	Gang-related	Roosevelt High School, Los Angeles, CA, United States	34.0379653	-118.2103429
416	1991-10-09	NY	James Monroe High School	K-12	1	0.0	1	2.0	Escalation of Dispute	James Monroe High School, Bronx, NY, United States	40.83204509999999	-73.8783844
417	1991-10-11	MA	Madison Park High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Madison Park High School, Roxbury, MA, United States	42.3319323	-71.0908397
418	1991-10-15	TX	Genevieve Sparks Elementary School	K-12	0	0.0	0	2.0	Accidental	Genevieve Sparks Elementary School, Pasadena, TX, United States	29.692567	-95.178162
419	1991-10-15	SC	Woodruff High School	K-12	0	0.0	0	2.0	Bullying	Woodruff High School, Woodruff, SC, United States	34.7318476	-82.0219285
420	1991-10-15	NH	Monadnock Regional High School	K-12	0	0.0	0	2.0	Anger Over Grade/Suspension/Discipline	Monadnock Regional High School, Swanzey, NH, United States	42.8743921	-72.2796438
421	1991-10-23	TX	Oak Cliff High School	K-12	1	0.0	1	2.0	Bullying	Oak Cliff High School, Dallas, TX, United States	32.6996702	-96.8157572
422	1991-11-06	LA	Walter L. Cohen Senior High School	K-12	1	0.0	1	1.0	Escalation of Dispute	Walter L. Cohen Senior High School, New Orleans, LA, United States	29.9301103	-90.09468319999999
423	1991-11-11	TX	Ysleta High School	K-12	1	0.0	1	2.0	Gang-related	Ysleta High School, El Paso, TX, United States	31.7004442	-106.3408857
424	1991-11-14	TX	Milby High School	K-12	0	0.0	0	2.0	Mental Health	Milby High School, Houston, TX, United States	29.7107556	-95.27799279999999
425	1991-11-25	NY	Thomas Jefferson High School	K-12	1	0.0	1	2.0	Escalation of Dispute	Thomas Jefferson High School, Brooklyn, NY, United States	40.6668454	-73.8952889
426	1991-12-26	NC	Whiteville High School	K-12	0	0.0	0	1.0	Unknown	Whiteville High School, Whiteville, NC, United States	34.335039	-78.707179
427	1992-01-28	LA	Francis W. Gregory Junior High School	K-12	0	0.0	0	2.0	Robbery	Francis W. Gregory Junior High School, Gentilly, LA, United States	30.0124722	-90.0602893
428	1992-01-31	LA	Francis W. Gregory Junior High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Francis W. Gregory Junior High School, Gentilly, LA, United States	30.0124722	-90.0602893
429	1992-02-06	OK	Douglass High School	K-12	1	0.0	1	2.0	Escalation of Dispute	Douglass High School, Oklahoma City, OK, United States	35.4753502	-97.47509989999999
430	1992-02-07	VA	Booker T. Washington High School	K-12	1	0.0	1	2.0	Escalation of Dispute	Booker T. Washington High School, Norfolk, VA, United States	36.8532861	-76.266716
431	1992-02-26	NY	Thomas Jefferson High School	K-12	1	0.0	2	2.0	Escalation of Dispute	Thomas Jefferson High School, Brooklyn, NY, United States	40.6668454	-73.8952889
432	1992-03-05	OH	Hamilton Middle School	K-12	0	0.0	0	2.0	Escalation of Dispute	Hamilton Middle School, Obetz, OH, United States	39.8573576	-82.9873862
433	1992-03-31	LA	O. Perry Walker High School	K-12	1	0.0	1	2.0	Escalation of Dispute	O. Perry Walker High School, Algiers, LA, United States	29.9424474	-90.0396645
434	1992-04-09	FL	Fort Myers High School	K-12	0	0.0	0	3.0	Escalation of Dispute	Fort Myers High School, Fort Myers, FL, United States	26.6282483	-81.8776644
435	1992-04-17	TX	Lincoln High School	K-12	1	0.0	1	1.0	Accidental	Lincoln High School, Dallas, TX, United States	32.756467	-96.751881
436	1992-05-01	CA	Lindhurst High School	K-12	1	0.0	4	4.0	Hostage Standoff	Lindhurst High School, Olivehurst, CA, United States	39.0835674	-121.537714
437	1992-05-14	TX	Huntsville Junior High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Huntsville Junior High School, Huntsville, TX, United States	34.72377180000001	-86.5748825
438	1992-05-14	CA	Silverado Middle School	K-12	0	0.0	0	2.0	Bullying	Silverado Middle School, Napa, CA, United States	38.2952878	-122.2619264
439	1992-05-29	CA	Venice High School	K-12	0	0.0	0	2.0	Gang-related	Venice High School, Los Angeles, CA, United States	33.9980938	-118.4442427
440	1992-06-06	CA	Merced High School	K-12	0	0.0	0	1.0	Escalation of Dispute	Merced High School, Merced, CA, United States	37.3203616	-120.4728461
441	1992-09-11	TX	Palo Duro High School	K-12	0	0.0	0	3.0	Escalation of Dispute	Palo Duro High School, Amarillo, TX, United States	35.2276189	-101.8238735
442	1992-09-28	CA	Hiram Johnson High School	K-12	0	0.0	0	3.0	Racial	Hiram Johnson High School, Sacramento, CA, United States	38.5409007	-121.424904
443	1992-09-30	TX	Hollibrook Elementary School	K-12	1	0.0	1	1.0	Gang-related	Hollibrook Elementary School, Houston, TX, United States	29.8263689	-95.50771259999999
444	1992-10-13	AZ	Desert View High School	K-12	1	0.0	1	3.0	Gang-related	Desert View High School, Tucson, AZ, United States	32.135965	-110.9042465
445	1992-10-19	NY	Evander Childs High School	K-12	0	0.0	0	2.0	Gang-related	Evander Childs High School, Bronx, NY, United States	40.8755572	-73.861435
446	1992-11-04	MI	Finney High School	K-12	0	0.0	0	3.0	Gang-related	Finney High School, Detroit, MI, United States	42.390245	-82.95343249999999
447	1992-11-04	MI	Marcus Garvey Academy	K-12	0	0.0	0	3.0	Gang-related	Marcus Garvey Academy, Detroit, MI, United States	42.3593031	-83.0016543
448	1992-11-04	MI	Mumford High School	K-12	0	0.0	0	3.0	Gang-related	Mumford High School, Detroit, MI, United States	42.4213221	-83.1646032
449	1992-11-10	IL	Sherman Elementary School	K-12	1	1.0	1	2.0	Accidental	Sherman Elementary School, Chicago, IL, United States	41.7998264	-87.6504542
450	1992-11-13	TX	Langham Creek High School	K-12	1	1.0	2	1.0	Murder/Suicide	Langham Creek High School, Cypress, TX, United States	29.881309	-95.677185
451	1992-11-16	AL	Fairfield High School	K-12	1	0.0	1	2.0	Robbery	Fairfield High School, Birmingham, AL, United States	33.4912583	-86.9082481
452	1992-11-20	IL	Tilden High School	K-12	1	0.0	1	2.0	Escalation of Dispute	Tilden High School, Chicago, IL, United States	41.8075276	-87.64235269999999
453	1992-11-24	AL	Robert E. Lee High School	K-12	0	0.0	0	1.0	Escalation of Dispute	Robert E. Lee High School, Montgomery, AL, United States	32.3785306	-86.2720641
454	1992-11-30	IL	Orr High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Orr High School, Chicago, IL, United States	41.893927	-87.726435
455	1992-12-03	IL	Woodson High School	K-12	1	0.0	1	2.0	Gang-related	Woodson High School, Chicago, IL, United States	41.8140942	-87.6084813
456	1992-12-14	NY	Walton High School	K-12	0	0.0	0	2.0	Anger Over Grade/Suspension/Discipline	Walton High School, Walton, NY, United States	42.1600699	-75.1269708
457	1993-01-05	NY	Brentwood High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Brentwood High School, Brentwood, NY, United States	40.7736168	-73.2550238
458	1993-01-12	FL	Norland Senior High School	K-12	1	0.0	1	2.0	Escalation of Dispute	Norland Senior High School, Miami, FL, United States	25.9515015	-80.22051189999999
459	1993-01-18	KY	East Carter High School	K-12	1	0.0	2	4.0	Hostage Standoff	East Carter High School, Grayson, KY, United States	38.3246518	-82.9335175
460	1993-01-21	CA	Fairfax High School	K-12	1	0.0	1	2.0	Accidental	Fairfax High School, Los Angeles, CA, United States	34.0821574	-118.3597627
